Timestamp,age,edu_level,hours_per_week,emotionally_drain,exhausted_rest,concentration_issue,disconnected,like_work,coping_method,burnout_level
7/29/2025 16:01:00,14-16,school,20-40hrs,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes ,,5
7/29/2025 16:02:55,14-16,school,Less than 20 hours,Sometimes,Often,Yes,Sometimes,Yes,,7
7/29/2025 16:04:11,14-16,school,Less than 20 hours,Rarely,Never,No,No,No,I dont have pressure,2
7/29/2025 16:17:36,14-16,school,20-40hrs,Often,Always,Sometimes,Sometimes,No,,7
7/29/2025 16:22:09,14-16,school,Less than 20 hours,Sometimes,Sometimes,Yes,Sometimes,No,I go out for walks or drawing in my sketchbook,5
7/29/2025 17:20:57,10-13 years,school,Less than 20 hours,Sometimes,Often,Yes,Yes,No,i dont,7
7/29/2025 17:29:44,14-16,school,20-40hrs,Sometimes,Rarely,No,No,Yes,Walking,4
7/29/2025 17:48:38,14-16,school,20-40hrs,Sometimes,Sometimes,Sometimes,Sometimes,Yes,Having a hobby (like for me I love playing piano) really helps when I’m quite stressed. Otherwise going out for a break works too.,5
7/29/2025 18:16:17,14-16,school,Less than 20 hours,Sometimes,Sometimes,Sometimes,Sometimes,Yes,,5
7/29/2025 18:36:50,10-13 years,school,Less than 20 hours,Always,Always,Yes,Yes,No,I play basketball ,10
7/29/2025 19:16:28,14-16,school,41-50hrs,Sometimes,Often,Sometimes,Sometimes,It depends on my interests ,"Self care, spending tine alone, music, writing, connecting with trusted people ",6
7/29/2025 21:01:00,14-16,school,More,Often,Often,Sometimes,Yes,No,play cricket,7
7/29/2025 21:54:52,14-16,school,20-40hrs,Sometimes,Often,No,Sometimes,Yes,"Music ,going out (socializing)",5
7/30/2025 9:53:55,14-16,school,41-50hrs,Sometimes,Often,Yes,Yes,Yes,Meditation,8
7/30/2025 21:03:09,14-16,school,Less than 20 hours,Sometimes,Always,Yes,Yes,No,,7
7/30/2025 21:40:42,14-16,school,20-40hrs,Sometimes,Often,Yes,Yes,Some subject and topics,"Listening to music, Crying, dancing",8
7/30/2025 21:44:01,14-16,school,20-40hrs,Sometimes,Sometimes,No,No,Yes,Depends on situation,4
8/2/2025 11:05:07,14-16,school,20-40hrs,Sometimes,Often,Yes,Yes,Sometimes ,,7
8/11/2025 23:27:49,14-16,school,Less than 20 hours,Sometimes,Always,No,Yes,No,,5
8/26/2025 20:49:56,14-16,school,Less than 20 hours,Always,Always,Yes,Yes,Yes,i dont,10
